Calc. data,,Go Ce5,,Individual peaks,,Peak bar 1,,,,,,,,5,-574.33
2θ - °,Intensity - cps,2θ - °,Intensity - cps,2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps,,,,,,5.05,-191.5905
5,1.46E-13,5,-574.33,5,1.46E-13,28.74943,0,0,,,,,,5.1,-135.5277
5.05,1.46E-13,5.05,-191.5905,5.05,1.46E-13,28.74943,0,470.2508,,,,,,5.15,23.85839
5.1,1.47E-13,5.1,-135.5277,5.1,1.47E-13,33.01003,0,0,,,,,,5.2,-60.09897
5.15,1.47E-13,5.15,23.85839,5.15,1.47E-13,33.01003,0,168.7434,,,,,,5.25,-204.0664
5.2,1.48E-13,5.2,-60.09897,5.2,1.48E-13,47.45335,0,0,,,,,,5.3,-144.7105
5.25,1.49E-13,5.25,-204.0664,5.25,1.49E-13,47.45335,0,448.2024,,,,,,5.35,-252.0314
5.3,1.49E-13,5.3,-144.7105,5.3,1.49E-13,56.36108,0,0,,,,,,5.4,17.30434
5.35,1.50E-13,5.35,-252.0314,5.35,1.50E-13,56.36108,0,361.3982,,,,,,5.45,-66.70328
5.4,1.51E-13,5.4,17.30434,5.4,1.51E-13,76.7978,0,0,,,,,,5.5,-14.05425
5.45,1.51E-13,5.45,-66.70328,5.45,1.51E-13,76.7978,0,148.8011,,,,,,5.55,-28.08191
5.5,1.52E-13,5.5,-14.05425,5.5,1.52E-13,,,,,,,,,5.6,-92.11958
5.55,1.53E-13,5.55,-28.08191,5.55,1.53E-13,,,,,,,,,5.65,-69.5006
5.6,1.53E-13,5.6,-92.11958,5.6,1.53E-13,,,,,,,,,5.7,-93.55827
5.65,1.54E-13,5.65,-69.5006,5.65,1.54E-13,,,,,,,,,5.75,-210.9593
5.7,1.55E-13,5.7,-93.55827,5.7,1.55E-13,,,,,,,,,5.8,-95.03689
5.75,1.55E-13,5.75,-210.9593,5.75,1.55E-13,,,,,,,,,5.85,-69.12449
5.8,1.56E-13,5.8,-95.03689,5.8,1.56E-13,,,,,,,,,5.9,-23.22205
5.85,1.57E-13,5.85,-69.12449,5.85,1.57E-13,,,,,,,,,5.95,-23.99624
5.9,1.57E-13,5.9,-23.22205,5.9,1.57E-13,,,,,,,,,6,-11.44703
5.95,1.58E-13,5.95,-23.99624,5.95,1.58E-13,,,,,,,,,6.05,-25.57443
6,1.59E-13,6,-11.44703,6,1.59E-13,,,,,,,,,6.1,-103.0451
6.05,1.59E-13,6.05,-25.57443,6.05,1.59E-13,,,,,,,,,6.15,-20.52568
6.1,1.60E-13,6.1,-103.0451,6.1,1.60E-13,,,,,,,,,6.2,-81.34951
6.15,1.61E-13,6.15,-20.52568,6.15,1.61E-13,,,,,,,,,6.25,-2.18324
6.2,1.61E-13,6.2,-81.34951,6.2,1.61E-13,,,,,,,,,6.3,80.30647
6.25,1.62E-13,6.25,-2.18324,6.25,1.62E-13,,,,,,,,,6.35,76.11961
